GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
0,0,0,0,1,0,0,Not difficult at all,3,5,5,5,5,Skyrim,"Console (PS, Xbox, ...)",15.0,having_fun,undefined,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Male,25,Unemployed / between jobs,USA,singleplayer,1,23,5.0
1,2,2,2,0,1,0,Somewhat difficult,3,5,2,5,1,Other,PC,8.0,having_fun,undefined,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,Male,41,Unemployed / between jobs,USA,multiplayer - online - with strangers,8,16,33.0
0,2,2,0,0,3,1,Not difficult at all,2,6,5,2,2,Other,PC,0.0,having_fun,undefined,0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,4.0,Female,32,Employed,Germany,singleplayer,8,17,31.0
0,0,0,0,0,0,0,Not difficult at all,2,5,5,3,2,Other,PC,20.0,improving,undefined,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,28,Employed,USA,multiplayer - online - with online acquaintances or teammates,0,17,11.0
2,1,2,2,2,3,2,Very difficult,2,2,4,5,1,Other,"Console (PS, Xbox, ...)",20.0,having_fun,undefined,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,Male,19,Employed,South Korea,multiplayer - online - with strangers,14,14,13.0
0,0,0,0,0,1,0,Not difficult at all,3,5,3,3,3,Other,"Console (PS, Xbox, ...)",4.0,relaxing,undefined,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Male,24,Employed,USA,multiplayer - online - with real life friends,1,17,13.0
0,0,0,0,0,0,0,Not difficult at all,3,4,4,3,2,Other,PC,30.0,relaxing,undefined,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,Male,29,Employed,USA,multiplayer - online - with online acquaintances or teammates,0,16,26.0
0,0,0,0,0,0,0,Not difficult at all,3,6,4,3,7,Other,"Console (PS, Xbox, ...)",25.0,having_fun,undefined,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Female,23,Employed,Japan,singleplayer,0,23,14.0
2,3,2,2,0,1,2,Very difficult,2,3,3,3,1,Other,"Console (PS, Xbox, ...)",2.0,winning,undefined,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,Female,23,Employed,USA,multiplayer - online - with strangers,12,12,55.0
2,1,2,2,2,1,0,Somewhat difficult,3,3,3,2,2,World of Warcraft,PC,25.0,improving,undefined,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,Female,27,Employed,Finland,multiplayer - online - with online acquaintances or teammates,10,13,26.0
